     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;       51912.408;          34.916;          35.500;          35.124;           0.098 ( 0.279 %);  27803.523
        c8;           2.000;           0.002;           0.000;        128;        500;        6924.252;          39.416;         115.000;          54.601;          12.447 (22.797 %);  17885.383
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3727.073;          54.500;          55.582;          54.735;           0.183 ( 0.335 %);  17841.735
        c8;           2.000;           0.002;           0.000;        128;        500;        2745.877;          42.750;          54.918;          53.487;           3.517 ( 6.576 %);  18257.786
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        2373.387;          54.500;          55.084;          54.677;           0.104 ( 0.190 %);  17860.582
        c8;           2.000;           0.002;           0.000;        128;        500;        4030.189;          54.500;          54.918;          54.710;           0.109 ( 0.199 %);  17849.918
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3451.475;          42.834;          55.334;          50.046;           5.861 (11.710 %);  19513.416
        c8;           2.000;           0.002;           0.000;        128;        500;        3217.738;          42.750;          43.166;          42.884;           0.086 ( 0.200 %);  22772.316
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3879.571;          35.082;         489.168;          70.447;          78.220 (111.034 %);  13862.425
        c8;           2.000;           0.002;           0.000;        128;        500;       26677.292;          54.500;          55.000;          54.684;           0.104 ( 0.190 %);  17858.325
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3619.644;          54.500;          56.668;          54.758;           0.369 ( 0.674 %);  17834.271
        c8;           2.000;           0.002;           0.000;        128;        500;        1874.063;          54.500;          54.916;          54.682;           0.101 ( 0.184 %);  17859.078
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        6445.771;          35.082;         247.832;          47.174;          46.022 (97.558 %);  20701.207
        c8;           2.000;           0.002;           0.000;        128;        500;       10096.744;          39.332;          63.750;          40.152;           4.236 (10.551 %);  24321.714
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        4704.582;          35.000;          85.582;          36.672;           8.781 (23.945 %);  26629.693
        c8;           2.000;           0.002;           0.000;        128;        500;        7821.683;          39.250;         102.500;          46.874;          12.964 (27.657 %);  20833.966
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3068.520;          54.500;          55.166;          54.717;           0.126 ( 0.231 %);  17847.426
        c8;           2.000;           0.002;           0.000;        128;        500;        4888.830;          54.500;          54.916;          54.687;           0.091 ( 0.166 %);  17857.356
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        9533.490;          54.500;          93.000;          56.031;           6.719 (11.991 %);  17429.090
        c8;           2.000;           0.002;           0.000;        128;        500;        8439.729;          54.500;          54.916;          54.672;           0.088 ( 0.161 %);  17862.344
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        5204.363;          42.666;          43.250;          42.962;           0.146 ( 0.340 %);  22730.940
        c8;           2.000;           0.002;           0.000;        128;        500;        2412.528;          42.750;          43.084;          42.894;           0.101 ( 0.235 %);  22767.007
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        5298.086;          54.500;          98.750;          56.050;           7.667 (13.679 %);  17422.947
        c8;           2.000;           0.002;           0.000;        128;        500;        2902.729;          42.750;          55.250;          50.086;           5.867 (11.714 %);  19497.714
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;       10394.399;          54.500;         108.500;          56.333;           9.366 (16.626 %);  17335.410
        c8;           2.000;           0.002;           0.000;        128;        500;        3966.353;          42.750;          55.082;          54.320;           2.081 ( 3.830 %);  17977.854
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        7887.782;          42.834;          86.166;          51.207;           8.771 (17.128 %);  19070.823
