O0
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;        500;         321.458;          83.334;          83.668;          83.490;           0.104 ( 0.124 %);    731.048
        c8;           0.125;           0.000;           0.000;          8;        500;         279.801;          31.166;          31.916;          31.379;           0.132 ( 0.420 %);   1945.101O1  
O1 
      BASE;           0.125;           0.000;           0.000;          8;        500;          68.480;          18.082;          18.584;          18.167;           0.089 ( 0.487 %);   3359.745
        c8;           0.125;           0.000;           0.000;          8;        500;          65.916;          18.082;          18.250;          18.129;           0.047 ( 0.259 %);   3366.731
//O2//  
      BASE;           0.125;           0.000;           0.000;          8;        500;         143.760;          11.416;          12.000;          11.515;           0.090 ( 0.778 %);   5300.421
        c8;           0.125;           0.000;           0.000;          8;        500;         104.525;          13.166;          13.334;          13.227;           0.043 ( 0.324 %);   4614.278
//O3//    
      BASE;           0.125;           0.000;           0.000;          8;        500;          93.791;          15.832;          16.166;          15.889;           0.068 ( 0.428 %);   3841.339
        c8;           0.125;           0.000;           0.000;          8;        500;          72.226;          18.082;          18.250;          18.144;           0.060 ( 0.330 %);   3363.953
//Ofast//    
      BASE;           0.125;           0.000;           0.000;          8;        500;          64.438;          11.416;          11.666;          11.475;           0.057 ( 0.496 %);   5319.066
        c8;           0.125;           0.000;           0.000;          8;        500;         118.361;          10.668;          10.834;          10.788;           0.047 ( 0.435 %);   5657.721
