     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1239.733;         220.334;         239.750;         221.700;           3.648 ( 1.645 %);   4404.890
        r8;           2.000;           0.002;           0.000;        128;        500;        1403.516;         134.916;         140.416;         135.245;           0.932 ( 0.689 %);   7220.700
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         754.323;         203.084;         373.000;         249.891;          37.013 (14.812 %);   3907.947
        r8;           2.000;           0.002;           0.000;        128;        500;        2735.896;         135.000;         189.000;         136.934;           9.403 ( 6.867 %);   7131.607
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1780.707;         202.918;         302.082;         245.376;          40.493 (16.502 %);   3979.857
        r8;           2.000;           0.002;           0.000;        128;        500;         675.328;         135.000;         246.166;         157.932;          24.828 (15.720 %);   6183.446
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         639.678;         167.584;         282.000;         224.947;          52.619 (23.392 %);   4341.296
        r8;           2.000;           0.002;           0.000;        128;        500;         587.146;         134.916;         159.250;         135.992;           4.291 ( 3.155 %);   7181.019
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         486.590;         220.332;         283.418;         229.295;          21.058 ( 9.184 %);   4258.975
        r8;           2.000;           0.002;           0.000;        128;        500;         483.055;         134.918;         135.418;         135.099;           0.117 ( 0.087 %);   7228.510
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         717.985;         167.584;         250.500;         184.876;          20.927 (11.320 %);   5282.243
        r8;           2.000;           0.002;           0.000;        128;        500;         907.547;         135.000;         231.416;         167.104;          18.287 (10.944 %);   5844.057
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3815.045;         167.582;         304.166;         239.510;          45.300 (18.914 %);   4077.333
        r8;           2.000;           0.002;           0.000;        128;        500;        1044.610;         134.916;         140.668;         135.444;           1.340 ( 0.989 %);   7210.064
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         689.408;         167.666;         315.666;         232.816;          49.732 (21.361 %);   4194.572
        r8;           2.000;           0.002;           0.000;        128;        500;        2557.086;         135.000;         140.668;         135.328;           0.964 ( 0.713 %);   7216.251
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1014.943;         220.332;         283.334;         265.374;          26.642 (10.039 %);   3679.954
        r8;           2.000;           0.002;           0.000;        128;        500;        2896.522;         134.916;         157.750;         136.101;           4.069 ( 2.990 %);   7175.280
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         583.866;         167.584;         472.916;         180.331;          53.655 (29.754 %);   5415.390
