     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1363.959;         150.668;         215.082;         165.477;          13.981 ( 8.449 %);   5901.497
        r8;           2.000;           0.002;           0.000;        128;        500;         622.100;         134.916;         173.082;         137.765;           9.335 ( 6.776 %);   7088.616
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3460.442;         135.416;         280.334;         165.725;          26.201 (15.810 %);   5892.676
        r8;           2.000;           0.002;           0.000;        128;        500;         888.967;         134.916;         140.750;         135.300;           0.991 ( 0.732 %);   7217.731
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3282.715;         135.416;         237.168;         166.129;          18.861 (11.353 %);   5878.346
        r8;           2.000;           0.002;           0.000;        128;        500;        1433.681;         134.916;         140.750;         135.313;           0.986 ( 0.729 %);   7217.055
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         551.802;         150.666;         245.000;         159.361;          18.123 (11.372 %);   6127.988
        r8;           2.000;           0.002;           0.000;        128;        500;         844.670;         134.916;         172.416;         149.768;          18.440 (12.312 %);   6520.518
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         582.261;         150.666;         262.334;         168.200;          19.881 (11.820 %);   5805.971
        r8;           2.000;           0.002;           0.000;        128;        500;       29633.286;         134.834;         166.332;         136.235;           5.490 ( 4.030 %);   7168.232
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         583.566;         135.416;         275.084;         166.947;          24.179 (14.483 %);   5849.541
        r8;           2.000;           0.002;           0.000;        128;        500;         606.337;         134.916;         140.750;         135.250;           0.992 ( 0.734 %);   7220.428
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1161.269;         135.416;         175.000;         146.533;          17.099 (11.669 %);   6664.459
        r8;           2.000;           0.002;           0.000;        128;        500;         664.124;         134.916;         140.582;         135.240;           0.962 ( 0.711 %);   7220.975
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1336.058;         150.750;         269.666;         167.765;          21.183 (12.627 %);   5821.007
        r8;           2.000;           0.002;           0.000;        128;        500;         996.154;         134.916;         172.416;         137.035;           7.344 ( 5.359 %);   7126.365
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         673.138;         172.750;         178.416;         173.190;           1.345 ( 0.777 %);   5638.693
        r8;           2.000;           0.002;           0.000;        128;        500;        1385.661;         134.918;         172.418;         136.821;           7.139 ( 5.218 %);   7137.527
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         605.134;         135.418;         174.584;         149.002;          18.204 (12.217 %);   6554.004
        r8;           2.000;           0.002;           0.000;        128;        500;         625.832;         134.916;         136.584;         135.199;           0.342 ( 0.253 %);   7223.128
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         758.590;         143.916;         173.666;         171.985;           5.041 ( 2.931 %);   5678.181
        r8;           2.000;           0.002;           0.000;        128;        500;         544.082;         134.916;         135.750;         135.124;           0.149 ( 0.110 %);   7227.181
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         540.341;         135.500;         178.332;         161.793;          17.650 (10.909 %);   6035.882
        r8;           2.000;           0.002;           0.000;        128;        500;        1937.059;         134.918;         140.750;         135.295;           0.988 ( 0.731 %);   7217.999
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1385.882;         150.666;         245.416;         167.427;          18.700 (11.169 %);   5832.780
        r8;           2.000;           0.002;           0.000;        128;        500;      624117.949;         134.916;         172.500;         139.815;          11.465 ( 8.200 %);   6984.656
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1274.064;         150.668;         236.168;         161.212;          17.065 (10.586 %);   6057.622
        r8;           2.000;           0.002;           0.000;        128;        500;        1004.087;         134.916;         177.666;         147.765;          17.764 (12.022 %);   6608.877
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         749.605;         135.500;         275.250;         169.636;          27.172 (16.018 %);   5756.799
        r8;           2.000;           0.002;           0.000;        128;        500;         578.871;         134.916;         140.668;         135.275;           0.975 ( 0.721 %);   7219.070
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         874.521;         150.666;         273.500;         169.305;          21.263 (12.559 %);   5768.051
        r8;           2.000;           0.002;           0.000;        128;        500;         647.960;         135.000;         135.416;         135.126;           0.123 ( 0.091 %);   7227.032
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         804.994;         172.666;         178.334;         173.033;           0.965 ( 0.557 %);   5643.792
        r8;           2.000;           0.002;           0.000;        128;        500;         816.614;         134.916;         172.916;         142.788;          15.036 (10.531 %);   6839.259
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
