     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1192.689;          27.750;          28.668;          27.929;           0.199 ( 0.712 %);  34965.630
        r8;           2.000;           0.002;           0.000;        128;        500;        1744.297;          74.500;          95.666;          85.318;          10.382 (12.169 %);  11446.108
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         526.536;          25.166;          25.668;          25.268;           0.083 ( 0.328 %);  38648.655
        r8;           2.000;           0.002;           0.000;        128;        500;         726.529;          74.500;         183.082;         103.242;          22.126 (21.431 %);   9458.938
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1228.848;          21.832;          22.584;          21.970;           0.187 ( 0.852 %);  44450.063
        r8;           2.000;           0.002;           0.000;        128;        500;         694.039;          74.500;         113.500;          76.480;           7.487 ( 9.789 %);  12768.881
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1028.713;          25.250;         485.000;          40.005;          79.981 (199.927 %);  24410.993
        r8;           2.000;           0.002;           0.000;        128;        500;         741.281;          74.250;         176.166;          91.977;          17.772 (19.323 %);  10617.440
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        8080.622;          30.582;          31.084;          30.641;           0.113 ( 0.370 %);  31870.631
        r8;           2.000;           0.002;           0.000;        128;        500;         945.025;          90.082;         602.916;         113.947;          89.496 (78.542 %);   8570.311
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1179.859;          25.250;         477.500;          43.881;          77.853 (177.417 %);  22254.561
        r8;           2.000;           0.002;           0.000;        128;        500;         404.554;          74.250;         106.168;          76.177;           7.047 ( 9.250 %);  12819.666
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         635.210;          25.082;         476.750;          40.301;          78.711 (195.311 %);  24231.956
        r8;           2.000;           0.002;           0.000;        128;        500;         677.426;          74.334;         195.500;          97.025;          19.163 (19.750 %);  10065.026
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         474.221;          25.250;         502.584;          40.604;          83.083 (204.621 %);  24051.181
        r8;           2.000;           0.002;           0.000;        128;        500;         558.717;          74.334;         150.000;          93.773;          13.751 (14.664 %);  10414.142
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1074.915;          30.500;         463.084;          43.752;          75.277 (172.053 %);  22320.192
        r8;           2.000;           0.002;           0.000;        128;        500;         638.119;          90.000;         109.418;          90.725;           3.356 ( 3.700 %);  10764.003
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1069.595;          27.750;          28.250;          27.914;           0.101 ( 0.362 %);  34984.457
        r8;           2.000;           0.002;           0.000;        128;        500;         594.706;          74.584;          95.582;          91.758;           7.596 ( 8.278 %);  10642.861
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1258.208;          27.750;          47.000;          28.510;           3.324 (11.658 %);  34253.332
        r8;           2.000;           0.002;           0.000;        128;        500;         877.954;          74.500;          95.584;          79.619;           8.889 (11.165 %);  12265.469
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1285.513;          27.750;          29.000;          28.119;           0.298 ( 1.060 %);  34729.968
        r8;           2.000;           0.002;           0.000;        128;        500;         497.664;          74.584;          95.500;          83.068;          10.032 (12.076 %);  11756.122
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3387.795;          25.166;          25.584;          25.268;           0.065 ( 0.258 %);  38648.748
        r8;           2.000;           0.002;           0.000;        128;        500;         779.119;          74.168;         499.668;         103.821;          73.181 (70.488 %);   9406.227
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        2051.378;          30.500;          31.000;          30.634;           0.108 ( 0.353 %);  31878.702
        r8;           2.000;           0.002;           0.000;        128;        500;         676.522;          90.082;         189.000;          98.927;          17.623 (17.814 %);   9871.574
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        2018.777;          27.834;         114.666;          33.187;          14.777 (44.528 %);  29426.136
        r8;           2.000;           0.002;           0.000;        128;        500;         702.288;          95.084;         133.334;          97.094;           7.480 ( 7.704 %);  10057.933
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         954.633;          30.500;          30.918;          30.649;           0.100 ( 0.325 %);  31862.880
        r8;           2.000;           0.002;           0.000;        128;        500;        1096.209;          90.000;         654.168;         113.810;          98.415 (86.472 %);   8580.602
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         911.510;          30.500;         531.250;          48.096;          87.280 (181.470 %);  20304.469
        r8;           2.000;           0.002;           0.000;        128;        500;        1000.760;          95.082;         178.416;          98.624;          15.179 (15.391 %);   9901.923
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1273.099;          25.166;         102.000;          28.401;          13.363 (47.050 %);  34384.316
        r8;           2.000;           0.002;           0.000;        128;        500;         609.262;          95.082;          96.168;          95.343;           0.302 ( 0.317 %);  10242.582
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         772.348;          27.750;          28.916;          27.967;           0.193 ( 0.690 %);  34917.970
        r8;           2.000;           0.002;           0.000;        128;        500;         711.462;          74.584;         126.500;          83.326;          12.401 (14.882 %);  11719.764
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         798.003;          39.082;         724.166;          60.768;         119.150 (196.074 %);  16070.453
        r8;           2.000;           0.002;           0.000;        128;        500;         482.137;          74.250;         158.082;          77.356;          14.732 (19.045 %);  12624.283
